epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
77,10073.5,0.16872,0.989,1,0.04598,0.002476,0.002476,0.002476
78,10205.2,0.15786,0.9888,1,0.04559,0.002377,0.002377,0.002377
79,10335.4,0.1627,0.9887,0.9999,0.04523,0.002278,0.002278,0.002278
80,10466.8,0.15912,0.9893,1,0.04463,0.002179,0.002179,0.002179
81,10597.9,0.15898,0.9895,0.9999,0.04381,0.00208,0.00208,0.00208
82,10728.8,0.15709,0.9894,0.9999,0.04409,0.001981,0.001981,0.001981
83,10859.4,0.1538,0.9894,0.9999,0.04262,0.001882,0.001882,0.001882
84,10989.9,0.15035,0.9894,0.9999,0.04232,0.001783,0.001783,0.001783
85,11120.2,0.14586,0.9894,0.9999,0.04202,0.001684,0.001684,0.001684
86,11251.4,0.14512,0.9892,0.9999,0.04154,0.001585,0.001585,0.001585
87,11383.4,0.14161,0.9893,0.9999,0.04126,0.001486,0.001486,0.001486
88,11514.3,0.13887,0.9897,0.9999,0.04096,0.001387,0.001387,0.001387
89,11644.4,0.14275,0.99,0.9999,0.04073,0.001288,0.001288,0.001288
90,11774.7,0.13445,0.9901,0.9999,0.04089,0.001189,0.001189,0.001189
91,11905.5,0.13671,0.9904,0.9998,0.04087,0.00109,0.00109,0.00109
92,12036.3,0.13298,0.9901,0.9998,0.0408,0.000991,0.000991,0.000991
93,12167.2,0.13059,0.9895,0.9998,0.04173,0.000892,0.000892,0.000892
94,12298.2,0.12491,0.9893,0.9998,0.04212,0.000793,0.000793,0.000793
95,12429.2,0.1235,0.9891,0.9998,0.04203,0.000694,0.000694,0.000694
96,12559.9,0.12362,0.9899,0.9998,0.04248,0.000595,0.000595,0.000595
97,12690.8,0.12264,0.9885,0.9998,0.04457,0.000496,0.000496,0.000496
98,12822.1,0.11937,0.988,0.9998,0.04698,0.000397,0.000397,0.000397
99,12952.7,0.11719,0.9875,0.9998,0.05125,0.000298,0.000298,0.000298
100,13083.9,0.11501,0.9871,0.9998,0.05767,0.000199,0.000199,0.000199
